시도명,시군구명,자치단체코드,과세년도,세목명,체납액구간,체납건수,체납금액,누적체납건수,누적체납금액
경상남도,거창군,48880,2021,취득세,10만원~30만원미만,11,2109590,11,2109590
경상남도,거창군,48880,2021,취득세,1백만원~3백만원미만,3,7392100,13,25146040
경상남도,거창군,48880,2021,취득세,30만원~50만원미만,2,794230,3,1286030
경상남도,거창군,48880,2021,취득세,50만원~1백만원미만,3,2234640,7,5666220
경상남도,거창군,48880,2022,등록면허세,10만원 미만,129,1655300,295,4025980
경상남도,거창군,48880,2022,자동차세,10만원 미만,440,18878960,1140,49012380
경상남도,거창군,48880,2022,자동차세,10만원~30만원미만,306,51537360,1026,171468650
경상남도,거창군,48880,2022,자동차세,30만원~50만원미만,13,4447740,43,14373040
경상남도,거창군,48880,2022,재산세,10만원 미만,1730,36291790,4305,74979860
경상남도,거창군,48880,2022,재산세,10만원~30만원미만,181,30512580,334,55998840
경상남도,거창군,48880,2022,재산세,1백만원~3백만원미만,16,29334650,29,50125770
경상남도,거창군,48880,2022,재산세,30만원~50만원미만,23,8511330,37,13421070
경상남도,거창군,48880,2022,재산세,3백만원~5백만원미만,3,9668920,7,23733560
경상남도,거창군,48880,2022,재산세,50만원~1백만원미만,24,17447410,42,30734240
경상남도,거창군,48880,2022,재산세,5백만원~1천만원미만,2,14218890,3,19397290
경상남도,거창군,48880,2022,주민세,10만원 미만,1297,18808850,2643,40319870
경상남도,거창군,48880,2022,주민세,10만원~30만원미만,6,1013340,11,2222750
경상남도,거창군,48880,2022,주민세,1백만원~3백만원미만,1,1087400,4,8607210
경상남도,거창군,48880,2022,주민세,30만원~50만원미만,3,1121690,8,3343110
경상남도,거창군,48880,2022,주민세,50만원~1백만원미만,1,752910,3,2265170
경상남도,거창군,48880,2022,지방소득세,10만원 미만,115,3318800,195,5702130
경상남도,거창군,48880,2022,지방소득세,10만원~30만원미만,35,6811120,64,11725380
경상남도,거창군,48880,2022,지방소득세,1백만원~3백만원미만,18,29984330,51,88592070
경상남도,거창군,48880,2022,지방소득세,1천만원~3천만원미만,4,71863430,10,172238720
경상남도,거창군,48880,2022,지방소득세,30만원~50만원미만,14,5146740,21,8215720
경상남도,거창군,48880,2022,지방소득세,3백만원~5백만원미만,7,24625650,20,70965540
경상남도,거창군,48880,2022,지방소득세,50만원~1백만원미만,17,12268540,29,21404040
경상남도,거창군,48880,2022,지방소득세,5백만원~1천만원미만,6,43017380,13,99907740
경상남도,거창군,48880,2022,지역자원시설세,10만원 미만,5,91930,11,269780
경상남도,거창군,48880,2022,취득세,10만원 미만,5,190500,8,315620
경상남도,거창군,48880,2022,취득세,10만원~30만원미만,10,1644800,16,2721400
경상남도,거창군,48880,2022,취득세,1백만원~3백만원미만,4,6537940,5,8390370
경상남도,거창군,48880,2022,취득세,30만원~50만원미만,7,2421310,7,2421310
경상남도,거창군,48880,2022,취득세,3백만원~5백만원미만,1,3481150,1,3481150
경상남도,거창군,48880,2022,취득세,50만원~1백만원미만,5,3133300,7,4411510
경상남도,거창군,48880,2022,취득세,5백만원~1천만원미만,1,6160410,1,6160410
